scope,modality,state,species,count,fraction_of_total_rows,fraction_within_scope
overall,all,resolved,all,9218,1.0,1.0
overall,all,missing,all,0,0.0,0.0
overall_species,all,resolved,human,9176,0.9954436971143416,0.9954436971143416
overall_species,all,resolved,murine,42,0.004556302885658494,0.004556302885658494
overall_species,all,resolved,nhp,0,0.0,0.0
overall_species,all,resolved,other,0,0.0,0.0
overall_species,all,missing,human,0,0.0,0.0
overall_species,all,missing,murine,0,0.0,0.0
overall_species,all,missing,nhp,0,0.0,0.0
overall_species,all,missing,other,0,0.0,0.0
modality,binding,resolved,all,1200,0.13018008244738555,1.0
modality,binding,missing,all,0,0.0,0.0
modality_species,binding,resolved,human,1200,0.13018008244738555,1.0
modality_species,binding,resolved,murine,0,0.0,0.0
modality_species,binding,resolved,nhp,0,0.0,0.0
modality_species,binding,resolved,other,0,0.0,0.0
modality_species,binding,missing,human,0,0.0,0.0
modality_species,binding,missing,murine,0,0.0,0.0
modality_species,binding,missing,nhp,0,0.0,0.0
modality_species,binding,missing,other,0,0.0,0.0
modality,elution,resolved,all,7541,0.8180733347797787,1.0
modality,elution,missing,all,0,0.0,0.0
modality_species,elution,resolved,human,7541,0.8180733347797787,1.0
modality_species,elution,resolved,murine,0,0.0,0.0
modality_species,elution,resolved,nhp,0,0.0,0.0
modality_species,elution,resolved,other,0,0.0,0.0
modality_species,elution,missing,human,0,0.0,0.0
modality_species,elution,missing,murine,0,0.0,0.0
modality_species,elution,missing,nhp,0,0.0,0.0
modality_species,elution,missing,other,0,0.0,0.0
modality,kinetics,resolved,all,2,0.00021696680407897592,1.0
modality,kinetics,missing,all,0,0.0,0.0
modality_species,kinetics,resolved,human,2,0.00021696680407897592,1.0
modality_species,kinetics,resolved,murine,0,0.0,0.0
modality_species,kinetics,resolved,nhp,0,0.0,0.0
modality_species,kinetics,resolved,other,0,0.0,0.0
modality_species,kinetics,missing,human,0,0.0,0.0
modality_species,kinetics,missing,murine,0,0.0,0.0
modality_species,kinetics,missing,nhp,0,0.0,0.0
modality_species,kinetics,missing,other,0,0.0,0.0
modality,stability,resolved,all,200,0.02169668040789759,1.0
modality,stability,missing,all,0,0.0,0.0
modality_species,stability,resolved,human,200,0.02169668040789759,1.0
modality_species,stability,resolved,murine,0,0.0,0.0
modality_species,stability,resolved,nhp,0,0.0,0.0
modality_species,stability,resolved,other,0,0.0,0.0
modality_species,stability,missing,human,0,0.0,0.0
modality_species,stability,missing,murine,0,0.0,0.0
modality_species,stability,missing,nhp,0,0.0,0.0
modality_species,stability,missing,other,0,0.0,0.0
modality,tcell,resolved,all,75,0.008136255152961597,1.0
modality,tcell,missing,all,0,0.0,0.0
modality_species,tcell,resolved,human,33,0.003579952267303103,0.44
modality_species,tcell,resolved,murine,42,0.004556302885658494,0.56
modality_species,tcell,resolved,nhp,0,0.0,0.0
modality_species,tcell,resolved,other,0,0.0,0.0
modality_species,tcell,missing,human,0,0.0,0.0
modality_species,tcell,missing,murine,0,0.0,0.0
modality_species,tcell,missing,nhp,0,0.0,0.0
modality_species,tcell,missing,other,0,0.0,0.0
modality,vdjdb,resolved,all,200,0.02169668040789759,1.0
modality,vdjdb,missing,all,0,0.0,0.0
modality_species,vdjdb,resolved,human,200,0.02169668040789759,1.0
modality_species,vdjdb,resolved,murine,0,0.0,0.0
modality_species,vdjdb,resolved,nhp,0,0.0,0.0
modality_species,vdjdb,resolved,other,0,0.0,0.0
modality_species,vdjdb,missing,human,0,0.0,0.0
modality_species,vdjdb,missing,murine,0,0.0,0.0
modality_species,vdjdb,missing,nhp,0,0.0,0.0
modality_species,vdjdb,missing,other,0,0.0,0.0
